Sub_W,Sub_L,Sub_H,Patch_W,Patch_L,Feed_W,Slot1_W,Slot1_L,Slot2_W,Slot2_L,Freq_GHz,Gain,Directivity,S11(dB),Rad_eff,Total_eff,VSWR
6.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,37,5.7773293,6.5345848,-7.5027911,0.83999063,0.68536229,2.4575817
6.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,38,6.3712916,6.8090621,-4.7415781,0.9041135,0.61448994,3.7542463
6.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,40,5.8353844,6.6720921,-1.8055036,0.82476313,0.28406656,9.6561896
6.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,42,4.0988159,5.3451969,-1.2216185,0.75051937,0.18486082,14.243729
6.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,46,-0.33795252,0.22328517,-1.722317,0.87877204,0.28034008,10.119312
6.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,50,-1.3533039,-0.52880659,-9.052399,0.82708523,0.72776497,2.0896589
6.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,1,-46.376623,-14.486081,-2.2408762,0.000175992,7.06E-05,7.7951776
6.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,2,-35.45091,135.16307,-1.0906004,8.68E-18,2.00E-18,15.949559
6.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,4,-20.865095,141.31035,-0.16145831,6.06E-17,2.00E-18,107.59623
6.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,6,47.529486,0.20270484,0.065998097,54035.374,0.00054035374,1
6.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,10,-5.6060406,-1.0552397,-0.018962696,0.35068719,0.0018191747,916.09398
6.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,12,-10.478844,0.15477452,-0.10893751,0.086424754,0.0022505836,159.4674
6.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,26,6.9955903,7.5666897,-0.85292166,0.87677883,0.15532229,20.383744
6.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,28,6.7763781,7.9221092,-26.592268,0.76811612,0.76505516,1.0975851
6.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,30,6.8717864,7.740459,-1.3005309,0.81871498,0.21387759,13.382398
6.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,36,5.9694811,6.6363685,-5.0323888,0.85765229,0.57615316,3.548021
6.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,37,6.2958895,6.880181,-9.8138807,0.8741196,0.77940196,1.9545456
6.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,38,6.6345612,6.9950645,-5.2962086,0.9203429,0.66284318,3.3810412
6.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,40,6.0731075,6.6764308,-2.023409,0.87029737,0.32805551,8.6241915
6.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,42,4.3193126,5.3175495,-1.3490791,0.79465077,0.21335411,12.902644
6.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,46,-0.41248912,0.11031762,-1.8274348,0.88658285,0.2969713,9.5411388
6.7,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,50,-1.1955104,-0.45758944,-8.8600266,0.84373857,0.73776955,2.1278225
6.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,1,-43.945989,129.02436,-2.2072954,0.000205974,8.16E-05,7.9124736
6.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,2,-32.485838,-14.70307,-0.56421811,0.016661851,0.0021066235,32.444684
6.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,4,45.00937,-6.451001,0.047439285,139970.67,0.0013997067,1
6.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,6,-13.385935,-1.9471441,-0.046599609,0.07179942,0.0010325575,372.79006
6.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,10,-14.21486,0.55114473,-0.16637107,0.03337333,0.0012575685,104.41915
6.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,12,-12.687371,0.98174608,-0.16623374,0.042962375,0.0015837688,104.50518
6.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,26,6.7650082,7.6041963,-0.90934985,0.8242922,0.15498037,19.120956
6.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,28,6.8641853,7.9688825,-29.201335,0.77540802,0.77319955,1.0718268
